model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_up_mean,f1_up_std,balanced_acc_mean,balanced_acc_std,n_folds,auc_mean,auc_std
random_forest,0.6479086943700709,0.03910105513428219,0.5471772097419023,0.046037328204549255,0.3338889863975427,0.06714657015345624,0.5506318808682408,0.04334552110449979,5,0.594904270410354,0.06539254757902614
gradient_boosting,0.5728317369722443,0.08424609092897231,0.4796573429777064,0.025808180781009216,0.289286054366421,0.12741542227954292,0.5175984041628487,0.030448275258515144,5,0.5759100853036601,0.055073585891537796
baseline_naive,0.5447026955445912,0.028660891795499206,0.47517100838720217,0.04935009185685724,0.28622354497354496,0.09387729429861968,0.4755978907811341,0.048389220731366256,5,,
logistic_regression,0.4971207308374068,0.13076136535430047,0.44082758399026395,0.10243830532778991,0.415503773512623,0.11353040308281633,0.5203784912214795,0.04451623422601039,5,0.5378071220142967,0.0640224277542081
ridge_classifier,0.48996656736600686,0.14118720850888317,0.42755062505300356,0.11888309224565544,0.4145228140837662,0.10709681607317645,0.5173935552649411,0.03877864412579355,5,0.5359907293247242,0.0646108647196443
baseline_majority,0.6763112252400634,0.03275030098328631,0.4032671899221195,0.011829286498592698,0.0,0.0,0.5,0.0,5,,
