,pct_missing
nikkei_vol,0.403387220939184
fed_rate,0.33410315627405696
stoxx50,0.3086989992301771
DEXUSEU,0.30484988452655887
ecb_rate,0.3002309468822171
DEXCHUS,0.12009237875288684
DEXJPUS,0.11855273287143957
DEXUSUK,0.11855273287143957
DEXHKUS,0.11855273287143957
DEXSZUS,0.11855273287143957
VIX,0.11547344110854503
nikkei,0.02771362586605081
wti,0.0
sp500,0.0
gold,0.0
tau,0.0
